time,peoplecount_rgb,co2
2021-02-11 11:55:14.532,1,703.0
2021-02-11 11:55:23.000,1,703.0
2021-02-11 11:57:16.835,1,713.0
2021-02-11 11:57:21.000,1,713.0
2021-02-11 11:59:16.463,1,691.0
2021-02-11 11:59:34.000,1,711.0
2021-02-11 12:04:18.472,0,422.0
2021-02-11 12:07:15.942,0,415.0
2021-02-11 12:07:33.000,0,415.0
2021-02-11 12:08:17.206,0,434.0
2021-02-11 12:11:15.199,0,444.0
2021-02-11 12:11:21.000,0,444.0
2021-02-11 12:11:53.535,0,444.0
2021-02-11 12:12:19.669,0,427.0
2021-02-11 12:13:14.725,0,452.0
2021-02-11 12:13:20.000,0,452.0
2021-02-11 12:14:15.890,0,431.0
2021-02-11 12:17:16.610,0,433.0
2021-02-11 12:17:26.000,0,412.0
2021-02-11 12:17:46.384,0,431.0
2021-02-11 12:18:03.699,0,431.0
2021-02-11 12:18:04.734,0,431.0
2021-02-11 12:18:15.000,1,431.0
2021-02-11 12:18:21.149,1,431.0
2021-02-11 12:19:16.430,0,419.0
2021-02-11 12:19:21.000,0,419.0
2021-02-11 12:20:33.179,1,415.0
2021-02-11 12:21:15.691,2,415.0
2021-02-11 12:21:19.000,2,415.0
2021-02-11 12:22:16.969,0,421.0
2021-02-11 12:25:14.903,2,438.0
2021-02-11 12:25:26.000,2,415.0
2021-02-11 12:26:05.384,2,436.0
2021-02-11 12:26:16.217,1,436.0
2021-02-11 12:26:16.399,1,436.0
2021-02-11 12:30:15.481,2,413.0
2021-02-11 12:31:16.404,1,433.0
2021-02-11 12:31:31.000,1,433.0
2021-02-11 12:33:15.976,2,412.0
2021-02-11 12:33:25.000,2,412.0
2021-02-11 12:34:17.254,2,437.0
2021-02-11 12:35:15.617,1,417.0
2021-02-11 12:35:19.000,1,417.0
2021-02-11 12:35:33.880,1,437.0
2021-02-11 12:36:17.276,0,420.0
2021-02-11 12:41:17.449,1,419.0
2021-02-11 12:41:25.000,1,419.0
2021-02-11 12:42:15.580,1,419.0
2021-02-11 12:43:16.438,1,437.0
2021-02-11 12:43:19.000,1,437.0
2021-02-11 12:45:16.306,1,421.0
2021-02-11 12:45:36.000,1,421.0
2021-02-11 12:49:15.449,1,422.0
2021-02-11 12:49:24.000,1,422.0
2021-02-11 12:50:16.675,2,403.0
2021-02-11 12:50:33.772,2,403.0
2021-02-11 12:51:14.933,2,435.0
2021-02-11 12:51:18.000,2,435.0
2021-02-11 12:52:16.101,1,492.0
2021-02-11 12:53:17.158,0,470.0
2021-02-11 12:53:35.000,0,470.0
2021-02-11 12:53:41.886,0,470.0
2021-02-11 12:53:52.902,0,470.0
2021-02-11 13:01:35.000,0,443.0
2021-02-11 13:02:16.606,0,466.0
2021-02-11 13:03:15.160,0,446.0
2021-02-11 13:03:28.000,0,446.0
2021-02-11 13:03:41.037,0,446.0
2021-02-11 13:04:16.152,2,464.0
2021-02-11 13:09:33.000,1,428.0
2021-02-11 13:10:15.017,1,448.0
2021-02-11 13:11:16.134,1,468.0
2021-02-11 13:11:27.000,1,468.0
2021-02-11 13:13:15.694,1,428.0
2021-02-11 13:13:21.000,1,453.0
2021-02-11 13:19:17.319,1,451.0
2021-02-11 13:19:26.000,1,451.0
2021-02-11 13:20:33.881,0,470.0
2021-02-11 13:21:16.926,0,447.0
2021-02-11 13:21:20.000,0,447.0
2021-02-11 13:24:14.867,1,415.0
2021-02-11 13:25:16.005,1,455.0
2021-02-11 13:26:17.188,1,439.0
2021-02-11 13:29:14.985,1,415.0
2021-02-11 13:29:19.000,1,415.0
2021-02-11 13:30:16.251,1,431.0
2021-02-11 13:31:36.000,1,402.0
2021-02-11 13:32:15.839,1,434.0
2021-02-11 13:33:17.029,0,416.0
2021-02-11 13:34:15.176,2,431.0
2021-02-11 13:36:14.988,0,433.0
2021-02-11 13:38:17.203,1,415.0
2021-02-11 13:39:15.486,1,435.0
2021-02-11 13:40:16.767,1,414.0
2021-02-11 13:41:15.206,2,450.0
2021-02-11 13:41:30.000,2,450.0
2021-02-11 13:42:16.367,1,423.0
2021-02-11 13:46:15.074,1,441.0
2021-02-11 13:46:15.461,0,441.0
2021-02-11 13:46:30.289,0,420.0
2021-02-11 13:47:16.841,0,420.0
2021-02-11 13:47:35.000,0,445.0
2021-02-11 13:48:15.178,0,421.0
2021-02-11 13:48:24.634,0,421.0
2021-02-11 13:48:42.964,0,421.0
2021-02-11 13:48:42.995,0,421.0
2021-02-11 13:49:16.359,0,424.0
2021-02-11 13:49:26.009,0,424.0
